PV technology (raw text),PV technology,PV technology detail,scope of study,duration (raw text),duration in years,start year,end year,system capacity (raw text),system capacity in Watts,number of PV modules in study,PV module nominal power (raw text),PV module nominal power in Watts,country,location (raw text),location,PV module name,bifacial,mounting,Annual power degradation rate (raw text),Annual power degradation rate in percent,location of information,confidence level,Annual degradation rate of other parameters,degradation metric,analysis method,number of measurements for degradation analysis,source of initial power value,other examination techs,faults (raw text),faults,grid-connected,materials and construction,note,event id,record scope,event name,event date,event date (raw text),primary cause,cause categories,cause (raw text),failure mode,impact summary,affected capacity (raw text),affected modules (raw text),city,county,state/region,latitude,longitude,location method,location precision,location evidence,event evidence,weather evidence,source title,source file,source pages,source URL,review status,workbook event id,hazard category (workbook),hazard detail (workbook),named event / cause (workbook),severity,reported loss,capacity MW (workbook),source type (workbook),workbook confidence,workbook verification status,source review / research needed,workbook notes,source capture status
not reported,not reported,not reported,system level,"September 24, 2023",not reported,2023,2023,not reported,not reported,not reported,not reported,not reported,United States,"north Austin-Round Rock area, Austin, Texas","30.271129, -97.743700",not reported,not reported,not reported,not reported,not reported,"[""text""]",0.96,not reported,not reported,not reported,not reported,not reported,"[""satellite imagery"", ""NOAA MRMS radar data""]",Visible module damage and broken front glass.,"[""hail damage"", ""broken front glass"", ""possible internal cell cracking""]",not reported,not reported,"Coordinates are an Austin locality centroid, not individual PV-site coordinates.",PVF-001,multi-site study aggregate,Austin metropolitan area hailstorm PV damage,2023-09-24,"September 24, 2023",hail,"[""hail""]",Softball-sized hail up to 100 mm.,Visible module damage and broken front glass.,"5.5% of 11,386 identified PV sites had visible damage; 55 sites (0.5%) had more than 70% visible damage.",not reported,not reported,Austin,Travis County,Texas,30.271129,-97.743700,geocoded_openstreetmap,geocoded_city,The study names the north Austin-Round Rock area.,Post-storm imagery was reviewed against pre-storm imagery to identify visible PV damage.,The report identifies up to 100 mm hail in the north Austin-Round Rock area.,Assessing the Impacts of Extreme Weather Events on Photovoltaic Installations Using Remote Sensing Imagery,Progress in Photovoltaics - 2025 - Perry - Assessing the Impacts of Extreme Weather Events on Photovoltaic Installations.pdf,"2-3, 6-7",https://doi.org/10.1002/pip.70001,source-reviewed,not applicable,hail,Softball-sized hail up to 100 mm.,The report identifies up to 100 mm hail in the north Austin-Round Rock area.,not reported,not reported,not reported,supplied report,0.96,source-reviewed,not reported,"Coordinates are an Austin locality centroid, not individual PV-site coordinates.",supplied local report
not reported,not reported,not reported,system level,"Hurricane Maria, September 2017",not reported,2017,2017,not reported,not reported,not reported,not reported,not reported,United States,"Humacao, southeastern Puerto Rico","18.138074, -65.819637",not reported,not reported,not reported,not reported,not reported,"[""text""]",0.95,not reported,not reported,not reported,not reported,not reported,"[""satellite imagery""]",Modules damaged by wind gusts.,"[""wind damage"", ""module damage""]",not reported,not reported,Coordinates are a Humacao locality centroid; the facility name and exact site coordinates are not reported.,PVF-002,single utility-scale PV site,Hurricane Maria damage at an unnamed Humacao utility PV site,2017-09,"Hurricane Maria, September 2017",hurricane,"[""hurricane"", ""wind""]",Wind gusts exceeding 170 km/h during Hurricane Maria.,Modules damaged by wind gusts.,More than 41% of modules were impacted.,not reported,not reported,Humacao,Humacao,Puerto Rico,18.138074,-65.819637,geocoded_openstreetmap,geocoded_city,The report identifies the utility site as being in Humacao in southeastern Puerto Rico.,The report describes this as one of the most heavily damaged utility sites in its data set.,Maximum wind gusts were reported as over 170 km/h.,Assessing the Impacts of Extreme Weather Events on Photovoltaic Installations Using Remote Sensing Imagery,Progress in Photovoltaics - 2025 - Perry - Assessing the Impacts of Extreme Weather Events on Photovoltaic Installations.pdf,2,https://doi.org/10.1002/pip.70001,source-reviewed,not applicable,hurricane,Wind gusts exceeding 170 km/h during Hurricane Maria.,Maximum wind gusts were reported as over 170 km/h.,not reported,not reported,not reported,supplied report,0.95,source-reviewed,not reported,Coordinates are a Humacao locality centroid; the facility name and exact site coordinates are not reported.,supplied local report
not reported,not reported,not reported,system level,Hurricane Irma (Aug-Sep 2017) and Hurricane Maria (Sep-Oct 2017),not reported,2017,2017,not reported,not reported,not reported,not reported,not reported,United States,"Puerto Rico, St. Thomas, and St. Croix",not reported,not reported,not reported,not reported,not reported,not reported,"[""text""]",0.93,not reported,not reported,not reported,not reported,not reported,"[""satellite imagery""]",Visible PV installation damage in post-storm imagery.,"[""wind damage"", ""missing or damaged modules""]",not reported,not reported,Multi-island portfolio record; no single coordinate is assigned.,PVF-003,multi-site study aggregate,Hurricanes Irma and Maria PV damage portfolio,2017-08 to 2017-10,Hurricane Irma (Aug-Sep 2017) and Hurricane Maria (Sep-Oct 2017),hurricane,"[""hurricane"", ""wind""]",Hurricane wind gusts.,Visible PV installation damage in post-storm imagery.,"17% of 1,534 compiled sites were damaged; 2.8% had more than 50% damage.",not reported,not reported,not reported,not reported,Puerto Rico and U.S. Virgin Islands,not reported,not reported,unmapped,not_reported,"The report maps sites across Puerto Rico, St. Thomas, and St. Croix.",Damage levels were manually calculated from post-hurricane imagery.,The two hurricanes occurred in close succession in 2017.,Assessing the Impacts of Extreme Weather Events on Photovoltaic Installations Using Remote Sensing Imagery,Progress in Photovoltaics - 2025 - Perry - Assessing the Impacts of Extreme Weather Events on Photovoltaic Installations.pdf,"5, 7",https://doi.org/10.1002/pip.70001,source-reviewed,not applicable,hurricane,Hurricane wind gusts.,The two hurricanes occurred in close succession in 2017.,not reported,not reported,not reported,supplied report,0.93,source-reviewed,not reported,Multi-island portfolio record; no single coordinate is assigned.,supplied local report
not reported,not reported,not reported,system level,"June 23, 2016",not reported,2016,2016,not reported,not reported,not reported,not reported,not reported,Netherlands,southeast Netherlands; Noord-Brabant/Limburg,not reported,not reported,not reported,not reported,not reported,not reported,"[""text""]",0.91,not reported,not reported,not reported,not reported,not reported,"[""insurance-loss analysis""]",Visible solar-panel damage and invisible cell cracks.,"[""hail damage"", ""cell cracks""]",not reported,not reported,"The report names a multi-province area, so no single map point is assigned.",PVF-004,regional multi-system event,Southeast Netherlands hailstorm PV damage,2016-06-23,"June 23, 2016",hail,"[""hail""]",Hailstones of 6-7 cm; visible damage was most pronounced in 4-5 cm hail areas.,Visible solar-panel damage and invisible cell cracks.,Insured PV losses were documented; individual site counts are not reported.,not reported,not reported,not reported,not reported,Noord-Brabant/Limburg,not reported,not reported,unmapped,not_reported,The report names Noord-Brabant/Limburg in the southeast Netherlands.,The loss analysis documented visible and invisible PV hail damage.,Local reports documented hail in the 6-7 cm range.,IEA PVPS T13-33: Operational and Economic Impacts of Extreme Weather on PV Power Plants,IEA-PVPS-T13-33-2025-REPORT-Extreme-Weather-Impacts.pdf,24-25,https://doi.org/10.69766/FFNG4976,source-reviewed,not applicable,hail,Hailstones of 6-7 cm; visible damage was most pronounced in 4-5 cm hail areas.,Local reports documented hail in the 6-7 cm range.,not reported,not reported,not reported,supplied report,0.91,source-reviewed,not reported,"The report names a multi-province area, so no single map point is assigned.",supplied local report
not reported,not reported,not reported,system level,May 2019,not reported,2019,2019,182 MW,182000000,400000,not reported,not reported,United States,"Pecos County, West Texas","30.785744, -102.806541",not reported,not reported,not reported,not reported,not reported,"[""text""]",0.97,not reported,not reported,not reported,not reported,not reported,"[""insurance reports""]",Broken glass and cracked cells in PV modules.,"[""hail damage"", ""broken glass"", ""cracked cells""]",not reported,not reported,"Coordinates are a Pecos County centroid, not the solar farm location.",PVF-005,single utility-scale PV farm,Midway Solar Farm hail damage,2019-05,May 2019,hail,"[""hail""]",Seasonal thunderstorms produced damaging hail.,Broken glass and cracked cells in PV modules.,"More than 400,000 modules were damaged; insured loss was $70-80 million.",182 MW,400000,not reported,Pecos County,Texas,30.785744,-102.806541,geocoded_openstreetmap,geocoded_county,"The report identifies the Midway Solar Farm in Pecos County, West Texas.","The report describes more than 400,000 damaged modules at the 600-hectare site.",Seasonal West Texas thunderstorms produced damaging hail.,IEA PVPS T13-33: Operational and Economic Impacts of Extreme Weather on PV Power Plants,IEA-PVPS-T13-33-2025-REPORT-Extreme-Weather-Impacts.pdf,25,https://doi.org/10.69766/FFNG4976,source-reviewed,not applicable,hail,Seasonal thunderstorms produced damaging hail.,Seasonal West Texas thunderstorms produced damaging hail.,not reported,$70-80 million,182,supplied report,0.97,source-reviewed,not reported,"Coordinates are a Pecos County centroid, not the solar farm location.",supplied local report
not reported,not reported,not reported,system level,June and July 2021; most severe storm on June 28,not reported,2021,2021,not reported,not reported,6000,not reported,not reported,Switzerland,Switzerland,not reported,not reported,not reported,not reported,not reported,not reported,"[""text""]",0.96,not reported,not reported,not reported,not reported,not reported,"[""EL""]",Glass breakage and cell cracks identified by electroluminescence.,"[""hail damage"", ""glass breakage"", ""cell cracks""]",not reported,not reported,National multi-system record; no arbitrary country-centroid coordinate is used.,PVF-006,national multi-system event,Switzerland hailstorm PV damage portfolio,2021-06 to 2021-07,June and July 2021; most severe storm on June 28,hail,"[""hail""]",Hailstones up to 9 cm during widespread hailstorms.,Glass breakage and cell cracks identified by electroluminescence.,"About 6,000 modules from 411 affected systems were imaged; 57% had significant cell cracks.",not reported,6000,not reported,not reported,not reported,not reported,not reported,unmapped,not_reported,The source describes a national portfolio across Switzerland.,EL images from 411 affected systems identified significant cell cracks.,The report states hailstones reached up to 9 cm.,IEA PVPS T13-33: Operational and Economic Impacts of Extreme Weather on PV Power Plants,IEA-PVPS-T13-33-2025-REPORT-Extreme-Weather-Impacts.pdf,25,https://doi.org/10.69766/FFNG4976,source-reviewed,not applicable,hail,Hailstones up to 9 cm during widespread hailstorms.,The report states hailstones reached up to 9 cm.,not reported,not reported,not reported,supplied report,0.96,source-reviewed,not reported,National multi-system record; no arbitrary country-centroid coordinate is used.,supplied local report
not reported,not reported,not reported,system level,"Texas hail season, May-June 2022",not reported,2022,2022,347 MW; 415 MW; 500 MW; 500 MW,not reported,not reported,not reported,not reported,United States,"West Texas; Andrews, Brown, and Pecos counties",not reported,not reported,not reported,not reported,not reported,not reported,"[""text""]",0.94,not reported,not reported,not reported,not reported,not reported,"[""insurance reports""]",Significant hail damage to four solar farms.,"[""hail damage""]",not reported,not reported,"The report does not match a named facility to each county/capacity, so this remains one multi-facility record.",PVF-007,multi-facility event,West Texas multi-farm hail damage,2022-05 to 2022-06,"Texas hail season, May-June 2022",hail,"[""hail""]",Damaging 6-9 cm hail.,Significant hail damage to four solar farms.,Cumulative estimated hail damage was $300 million.,347 MW; 415 MW; 500 MW; 500 MW,not reported,not reported,"Andrews, Brown, and Pecos counties",Texas,not reported,not reported,unmapped,not_reported,"The report lists four farms across Andrews, Brown, and Pecos counties.",Four farms incurred significant hail damage according to insurance reports.,Damaging hail sizes ranged from 6 to 9 cm.,IEA PVPS T13-33: Operational and Economic Impacts of Extreme Weather on PV Power Plants,IEA-PVPS-T13-33-2025-REPORT-Extreme-Weather-Impacts.pdf,25,https://doi.org/10.69766/FFNG4976,source-reviewed,not applicable,hail,Damaging 6-9 cm hail.,Damaging hail sizes ranged from 6 to 9 cm.,not reported,$300 million,347,supplied report,0.94,source-reviewed,not reported,"The report does not match a named facility to each county/capacity, so this remains one multi-facility record.",supplied local report
not reported,not reported,not reported,system level,October 2018,not reported,2018,2018,55 MW,55000000,2000,not reported,not reported,Australia,"Darling Downs, Queensland; Oakey 2 Solar Project","-27.453596, 151.709983",not reported,not reported,tracker,not reported,not reported,"[""text""]",0.97,not reported,not reported,not reported,not reported,not reported,"[""post-event assessment""]",Structural damage consistent with torsional galloping in single-axis trackers.,"[""tracker torsional instability"", ""structural damage""]",not reported,not reported,"Coordinates are the Oakey locality centroid, not project coordinates.",PVF-008,single utility-scale PV project,Oakey 2 Solar Project tracker wind damage,2018-10,October 2018,wind,"[""wind""]",Seasonal thunderstorm with recorded wind gusts peaking at 74 km/h.,Structural damage consistent with torsional galloping in single-axis trackers.,"Approximately 2,000 modules on trackers were damaged.",55 MW,2000,Oakey,not reported,Queensland,-27.453596,151.709983,geocoded_openstreetmap,geocoded_city,"The source names the 55 MW Oakey 2 project in Darling Downs, Queensland.",The report attributes structural damage to torsional galloping in two-up portrait trackers.,Recorded gusts peaked at 74 km/h.,IEA PVPS T13-33: Operational and Economic Impacts of Extreme Weather on PV Power Plants,IEA-PVPS-T13-33-2025-REPORT-Extreme-Weather-Impacts.pdf,25-26,https://doi.org/10.69766/FFNG4976,source-reviewed,not applicable,wind,Seasonal thunderstorm with recorded wind gusts peaking at 74 km/h.,Recorded gusts peaked at 74 km/h.,not reported,not reported,55,supplied report,0.97,source-reviewed,not reported,"Coordinates are the Oakey locality centroid, not project coordinates.",supplied local report
not reported,not reported,not reported,system level,March 2023,not reported,2023,2023,not reported,not reported,not reported,not reported,not reported,United States,"Lamar County, northern Texas","33.638355, -95.582343",not reported,not reported,tracker,not reported,not reported,"[""text""]",0.92,not reported,not reported,not reported,not reported,not reported,"[""insurance-industry reports""]",Damage consistent with torsional tracker instability.,"[""tracker torsional instability"", ""wind damage""]",not reported,not reported,"Coordinates are a Lamar County centroid, not project coordinates.",PVF-009,single utility-scale PV project,Lamar County utility-scale PV wind damage,2023-03,March 2023,wind,"[""wind""]",Straight-line wind gusts in the 80 km/h range.,Damage consistent with torsional tracker instability.,Estimated damages were $30 million.,not reported,not reported,not reported,Lamar County,Texas,33.638355,-95.582343,geocoded_openstreetmap,geocoded_county,"The report identifies a utility-scale project in Lamar County, northern Texas.",The report describes damage consistent with torsional tracker instability.,"The site experienced wind gusts around 80 km/h, below its design wind speed.",IEA PVPS T13-33: Operational and Economic Impacts of Extreme Weather on PV Power Plants,IEA-PVPS-T13-33-2025-REPORT-Extreme-Weather-Impacts.pdf,26,https://doi.org/10.69766/FFNG4976,source-reviewed,not applicable,wind,Straight-line wind gusts in the 80 km/h range.,"The site experienced wind gusts around 80 km/h, below its design wind speed.",not reported,$30 million,not reported,supplied report,0.92,source-reviewed,not reported,"Coordinates are a Lamar County centroid, not project coordinates.",supplied local report
not reported,not reported,not reported,system level,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,India,southern India,not reported,not reported,not reported,rack,not reported,not reported,"[""text"", ""figure""]",0.91,not reported,not reported,not reported,not reported,not reported,"[""field surveys"", ""EL""]","Destroyed modules and structures, uprooted foundations, broken glass from waterborne debris, waterlogged electrical equipment, and inverter/SCB short-circuit fire.","[""destroyed modules"", ""structural damage"", ""uprooted foundations"", ""broken glass"", ""water ingress"", ""short circuit"", ""inverter fire""]",not reported,not reported,"The chapter covers more than one nearby flood case; no city or facility is reported, so this record is intentionally unmapped.",PVF-010,multiple PV flood case studies,Southern India flood damage to PV case studies,not reported,not reported,flood,"[""flood""]",Fast-flowing flood waters and equipment submergence.,"Destroyed modules and structures, uprooted foundations, broken glass from waterborne debris, waterlogged electrical equipment, and inverter/SCB short-circuit fire.",The report documents severe structural damage and up to 1-3 feet of submergence for about two days in a flood-affected plant.,not reported,not reported,not reported,not reported,southern India,not reported,not reported,unmapped,not_reported,The source localizes the fixed-tilt flood case to southern India.,Figures and field-survey text document destroyed structures and flood-related electrical damage.,Fast-flowing flood waters and sustained submergence are reported.,IEA PVPS T13-33: Operational and Economic Impacts of Extreme Weather on PV Power Plants,IEA-PVPS-T13-33-2025-REPORT-Extreme-Weather-Impacts.pdf,51-54,https://doi.org/10.69766/FFNG4976,source-reviewed,not applicable,flood,Fast-flowing flood waters and equipment submergence.,Fast-flowing flood waters and sustained submergence are reported.,not reported,not reported,not reported,supplied report,0.91,source-reviewed,not reported,"The chapter covers more than one nearby flood case; no city or facility is reported, so this record is intentionally unmapped.",supplied local report
